Ind_ID,Pop,Allele_1,Allele_2
Ind_1,Mainland,102,102
Ind_2,Mainland,100,100
Ind_3,Mainland,102,102
Ind_4,Mainland,100,100
Ind_5,Mainland,100,102
Ind_6,Mainland,100,102
Ind_7,Mainland,100,102
Ind_8,Mainland,102,102
Ind_9,Mainland,102,102
Ind_10,Mainland,100,100
Ind_11,Mainland,100,102
Ind_12,Mainland,100,102
Ind_13,Mainland,102,102
Ind_14,Mainland,100,102
Ind_15,Mainland,100,102
Ind_16,Mainland,100,102
Ind_17,Mainland,100,102
Ind_18,Mainland,100,102
Ind_19,Mainland,100,102
Ind_20,Mainland,100,100
Ind_21,Mainland,100,102
Ind_22,Mainland,100,102
Ind_23,Mainland,100,100
Ind_24,Mainland,102,102
Ind_25,Mainland,102,102
Ind_26,Mainland,100,102
Ind_27,Mainland,102,102
Ind_28,Mainland,102,102
Ind_29,Mainland,100,102
Ind_30,Mainland,100,102
Ind_31,Mainland,100,100
Ind_32,Mainland,100,102
Ind_33,Mainland,100,102
Ind_34,Mainland,102,102
Ind_35,Mainland,100,102
Ind_36,Mainland,100,102
Ind_37,Mainland,100,100
Ind_38,Mainland,100,100
Ind_39,Mainland,102,102
Ind_40,Mainland,100,102
Ind_41,Mainland,100,100
Ind_42,Mainland,100,102
Ind_43,Mainland,100,100
Ind_44,Mainland,100,100
Ind_45,Mainland,100,102
Ind_46,Mainland,100,102
Ind_47,Mainland,100,102
Ind_48,Mainland,100,102
Ind_49,Mainland,100,102
Ind_50,Mainland,102,102
Ind_51,Mainland,100,100
Ind_52,Mainland,100,100
Ind_53,Mainland,100,102
Ind_54,Mainland,100,102
Ind_55,Mainland,102,102
Ind_56,Mainland,102,102
Ind_57,Mainland,102,102
Ind_58,Mainland,100,102
Ind_59,Mainland,100,102
Ind_60,Mainland,100,102
Ind_61,Mainland,100,100
Ind_62,Mainland,100,102
Ind_63,Mainland,100,100
Ind_64,Mainland,102,102
Ind_65,Mainland,100,100
Ind_66,Mainland,100,102
Ind_67,Mainland,100,100
Ind_68,Mainland,100,102
Ind_69,Mainland,102,102
Ind_70,Mainland,100,100
Ind_71,Mainland,102,102
Ind_72,Mainland,102,102
Ind_73,Mainland,100,102
Ind_74,Mainland,100,102
Ind_75,Mainland,100,102
Ind_76,Mainland,102,102
Ind_77,Mainland,100,100
Ind_78,Mainland,102,102
Ind_79,Mainland,102,102
Ind_80,Mainland,100,102
Ind_81,Mainland,100,100
Ind_82,Mainland,102,102
Ind_83,Mainland,100,102
Ind_84,Mainland,100,102
Ind_85,Mainland,100,102
Ind_86,Mainland,100,102
Ind_87,Mainland,100,100
Ind_88,Mainland,102,102
Ind_89,Mainland,100,100
Ind_90,Mainland,100,102
Ind_91,Mainland,100,100
Ind_92,Mainland,100,100
Ind_93,Mainland,100,102
Ind_94,Mainland,102,102
Ind_95,Mainland,102,102
Ind_96,Mainland,102,102
Ind_97,Mainland,102,102
Ind_98,Mainland,102,102
Ind_99,Mainland,100,102
Ind_100,Mainland,100,102
Ind_101,Mainland,100,102
Ind_102,Mainland,102,102
Ind_103,Mainland,100,100
Ind_104,Mainland,102,102
Ind_105,Mainland,102,102
Ind_106,Mainland,100,100
Ind_107,Mainland,102,102
Ind_108,Mainland,100,100
Ind_109,Mainland,100,102
Ind_110,Mainland,100,102
Ind_111,Mainland,102,102
Ind_112,Mainland,100,102
Ind_113,Mainland,102,102
Ind_114,Mainland,100,102
Ind_115,Mainland,100,100
Ind_116,Mainland,100,100
Ind_117,Mainland,100,100
Ind_118,Mainland,102,102
Ind_119,Mainland,100,102
Ind_120,Mainland,100,102
Ind_121,Mainland,102,102
Ind_122,Mainland,102,102
Ind_123,Mainland,100,102
Ind_124,Mainland,102,102
Ind_125,Mainland,102,102
Ind_126,Mainland,100,100
Ind_127,Mainland,100,100
Ind_128,Mainland,100,102
Ind_129,Mainland,100,102
Ind_130,Mainland,100,100
Ind_131,Mainland,100,102
Ind_132,Mainland,102,102
Ind_133,Mainland,100,100
Ind_134,Mainland,102,102
Ind_135,Mainland,100,100
Ind_136,Mainland,100,100
Ind_137,Mainland,102,102
Ind_138,Mainland,100,102
Ind_139,Mainland,100,102
Ind_140,Mainland,100,100
Ind_141,Mainland,102,102
Ind_142,Mainland,102,102
Ind_143,Mainland,100,102
Ind_144,Mainland,102,102
